start_station_name,member_casual,number_of_rides
Kingsbury St & Kinzie St,member,25878
Clinton St & Washington Blvd,member,23569
Canal St & Madison St,member,22467
Clinton St & Madison St,member,21221
State St & Chicago Ave,member,19566
Clark St & Elm St,member,19556
Wells St & Elm St,member,18917
Clinton St & Jackson Blvd,member,18590
Wells St & Concord Ln,member,18560
Wells St & Huron St,member,18027
